,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
346,Iron Monger,Male,Blue,-,No Hair,0.0,Marvel Comics,,bad,2.0
347,Isis,Female,-,-,-,0.0,DC Comics,,good,0.0
348,Jack Bauer,Male,-,-,-,0.0,,,good,0.0
349,Jack of Hearts,Male,Blue / White,Human,Brown,155.0,Marvel Comics,,good,79.0
350,Jack-Jack,Male,Blue,Human,Brown,71.0,Dark Horse Comics,,good,14.0
351,James Bond,Male,blue,Human,Blond,183.0,Titan Books,,good,0.0
352,James T. Kirk,Male,Hazel,Human,Brown,178.0,Star Trek,,good,77.0
353,Jar Jar Binks,Male,Yellow,Gungan,-,193.0,George Lucas,Orange / White,good,0.0
354,Jason Bourne,Male,-,Human,-,0.0,,,good,0.0
355,Jean Grey,Female,Green,Mutant,Red,168.0,Marvel Comics,,good,52.0
356,Jean-Luc Picard,Male,-,Human,-,0.0,Star Trek,,good,0.0
357,Jennifer Kale,Female,Blue,-,Blond,168.0,Marvel Comics,,good,55.0
358,Jesse Quick,Female,-,Human,-,0.0,DC Comics,,good,0.0
359,Jessica Cruz,Female,Green,Human,Brown,0.0,DC Comics,,good,0.0
360,Jessica Jones,Female,Brown,Human,Brown,170.0,Marvel Comics,,good,56.0
361,Jessica Sanders,Female,-,-,-,0.0,NBC - Heroes,,good,0.0
362,Jigsaw,Male,Blue,-,Black,188.0,Marvel Comics,,bad,113.0
363,Jim Powell,Male,-,-,-,0.0,ABC Studios,,good,0.0
364,JJ Powell,Male,-,-,-,0.0,ABC Studios,,good,0.0
365,Johann Krauss,Male,-,-,-,0.0,Dark Horse Comics,,good,0.0
366,John Constantine,Male,Blue,Human,Blond,183.0,DC Comics,,good,0.0
367,John Stewart,Male,Green,Human,Black,185.0,DC Comics,,good,90.0
368,John Wraith,Male,Brown,-,Black,183.0,Marvel Comics,,good,88.0
369,Joker,Male,Green,Human,Green,196.0,DC Comics,White,bad,86.0
370,Jolt,Female,Blue,-,Black,165.0,Marvel Comics,,good,49.0
371,Jubilee,Female,Red,Mutant,Black,165.0,Marvel Comics,,good,52.0
372,Judge Dredd,Male,-,Human,-,188.0,Rebellion,,good,0.0
373,Juggernaut,Male,Blue,Human,Red,287.0,Marvel Comics,,neutral,855.0
374,Junkpile,Male,-,Mutant,-,0.0,Marvel Comics,,bad,0.0
375,Justice,Male,Hazel,Human,Brown,178.0,Marvel Comics,,good,81.0
376,Jyn Erso,Female,Green,Human,Brown,0.0,George Lucas,,good,0.0
377,K-2SO,Male,White,Android,No Hair,213.0,George Lucas,Gray,good,0.0
378,Kang,Male,Brown,-,Brown,191.0,Marvel Comics,,bad,104.0
379,Karate Kid,Male,Brown,Human,Brown,173.0,DC Comics,,good,72.0
380,Kathryn Janeway,Female,-,Human,-,0.0,Star Trek,,good,0.0
381,Katniss Everdeen,Female,-,Human,-,0.0,,,good,0.0
382,Kevin 11,Male,-,Human,Black,0.0,DC Comics,,good,0.0
383,Kick-Ass,Male,Blue,Human,Blond,0.0,Icon Comics,,good,0.0
384,Kid Flash,Male,Green,Human,Red,0.0,DC Comics,,good,0.0
385,Kid Flash II,Male,-,-,-,0.0,DC Comics,,good,0.0
386,Killer Croc,Male,Red,Metahuman,No Hair,244.0,DC Comics,Green,bad,356.0
387,Killer Frost,Female,Blue,Human,Blond,0.0,DC Comics,Blue,bad,0.0
388,Kilowog,Male,Red,Bolovaxian,No Hair,234.0,DC Comics,Pink,good,324.0
389,King Kong,Male,Yellow,Animal,Black,30.5,,,good,
390,King Shark,Male,Black,Animal,No Hair,0.0,DC Comics,,bad,0.0
391,Kingpin,Male,Blue,Human,No Hair,201.0,Marvel Comics,,bad,203.0
392,Klaw,Male,Red,Human,No Hair,188.0,Marvel Comics,Red,bad,97.0
393,Kool-Aid Man,Male,Black,-,No Hair,0.0,,Red,good,0.0
394,Kraven II,Male,Brown,Human,Black,191.0,Marvel Comics,,bad,99.0
395,Kraven the Hunter,Male,Brown,Human,Black,183.0,Marvel Comics,,bad,106.0
396,Krypto,Male,Blue,Kryptonian,White,64.0,DC Comics,,good,18.0
397,Kyle Rayner,Male,Green,Human,Black,180.0,DC Comics,,good,79.0
398,Kylo Ren,Male,-,Human,-,0.0,George Lucas,,bad,0.0
399,Lady Bullseye,Female,-,-,Black,0.0,Marvel Comics,,bad,0.0
400,Lady Deathstrike,Female,Brown,Cyborg,Black,175.0,Marvel Comics,,bad,58.0
401,Leader,Male,Green,-,No Hair,178.0,Marvel Comics,,bad,63.0
402,Leech,Male,-,-,-,0.0,Marvel Comics,,good,0.0
403,Legion,Male,Green / Blue,Mutant,Black,175.0,Marvel Comics,,good,59.0
404,Leonardo,Male,Blue,Mutant,No Hair,0.0,IDW Publishing,Green,good,0.0
405,Lex Luthor,Male,Green,Human,No Hair,188.0,DC Comics,,bad,95.0
406,Light Lass,Female,Blue,-,Red,165.0,DC Comics,,good,54.0
407,Lightning Lad,Male,Blue,-,Red,155.0,DC Comics,,good,65.0
408,Lightning Lord,Male,Blue,-,Red,191.0,DC Comics,,bad,95.0
409,Living Brain,-,Yellow,-,-,198.0,Marvel Comics,,bad,360.0
410,Living Tribunal,-,Blue,Cosmic Entity,No Hair,0.0,Marvel Comics,Gold,neutral,0.0
411,Liz Sherman,Female,-,-,-,0.0,Dark Horse Comics,,good,0.0
412,Lizard,Male,Red,Human,No Hair,203.0,Marvel Comics,,bad,230.0
413,Lobo,Male,Red,Czarnian,Black,229.0,DC Comics,Blue-White,neutral,288.0
414,Loki,Male,Green,Asgardian,Black,193.0,Marvel Comics,,bad,236.0
415,Longshot,Male,Blue,Human,Blond,188.0,Marvel Comics,,good,36.0
416,Luke Cage,Male,Brown,Human,Black,198.0,Marvel Comics,,good,191.0
417,Luke Campbell,Male,-,-,-,0.0,NBC - Heroes,,bad,0.0
418,Luke Skywalker,Male,Blue,Human,Blond,168.0,George Lucas,,good,77.0
419,Luna,Female,-,Human,-,0.0,Marvel Comics,,good,0.0
420,Lyja,Female,Green,-,Green,0.0,Marvel Comics,,good,0.0
421,Mach-IV,Male,Brown,-,Brown,180.0,Marvel Comics,,bad,79.0
422,Machine Man,-,Red,-,Black,183.0,Marvel Comics,,good,383.0
423,Magneto,Male,Grey,Mutant,White,188.0,Marvel Comics,,bad,86.0
424,Magog,Male,Blue,-,Blond,0.0,DC Comics,,good,0.0
425,Magus,Male,Black,-,-,183.0,Marvel Comics,,bad,0.0
426,Man of Miracles,-,Blue,God / Eternal,Silver,0.0,Image Comics,,-,0.0
427,Man-Bat,Male,Brown,Human,Brown,0.0,DC Comics,,neutral,0.0
428,Man-Thing,Male,Red,-,No Hair,213.0,Marvel Comics,Green,good,225.0
429,Man-Wolf,Male,Brown,-,Auburn,188.0,Marvel Comics,,good,90.0
430,Mandarin,Male,Blue,Human,White,188.0,Marvel Comics,,bad,97.0
431,Mantis,Female,Green,Human-Kree,Black,168.0,Marvel Comics,Green,good,52.0
432,Martian Manhunter,Male,Red,Martian,No Hair,201.0,DC Comics,Green,good,135.0
433,Marvel Girl,Female,Green,-,Red,170.0,Marvel Comics,,good,56.0
434,Master Brood,Male,Blue,-,Black,183.0,Team Epic TV,,good,81.0
435,Master Chief,Male,Brown,Human / Altered,Brown,213.0,Microsoft,,good,0.0
436,Match,Male,Black,-,Black,0.0,DC Comics,,bad,0.0
437,Matt Parkman,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
438,Maverick,Male,Blue,-,Black,193.0,Marvel Comics,,good,110.0
439,Maxima,Female,Brown,-,Red,180.0,DC Comics,,bad,72.0
440,Maya Herrera,Female,-,-,-,0.0,NBC - Heroes,,good,0.0
441,Medusa,Female,Green,Inhuman,Red,180.0,Marvel Comics,,good,59.0
442,Meltdown,Female,Blue,-,Blond,165.0,Marvel Comics,,good,54.0
443,Mephisto,Male,White,-,Black,198.0,Marvel Comics,,bad,140.0
444,Mera,Female,Blue,Atlantean,Red,175.0,DC Comics,,good,72.0
445,Metallo,Male,Green,Android,Brown,196.0,DC Comics,,bad,90.0
446,Metamorpho,Male,Black,-,No Hair,185.0,DC Comics,,good,90.0
447,Meteorite,Female,-,-,-,0.0,Marvel Comics,,good,0.0
448,Metron,Male,Blue,-,Black,185.0,DC Comics,,good,86.0
449,Micah Sanders,Male,Brown,-,Black,0.0,NBC - Heroes,,good,0.0
450,Michelangelo,Male,Blue,Mutant,-,0.0,IDW Publishing,Green,good,0.0
451,Micro Lad,Male,Grey,-,Brown,183.0,DC Comics,,good,77.0
452,Mimic,Male,Brown,-,Brown,188.0,Marvel Comics,,good,101.0
453,Minna Murray,Female,-,-,-,0.0,Wildstorm,,good,0.0
454,Misfit,Female,Blue,-,Red,0.0,DC Comics,,good,0.0
455,Miss Martian,Female,Red,-,Red,178.0,DC Comics,,good,61.0
456,Mister Fantastic,Male,Brown,Human / Radiation,Brown,185.0,Marvel Comics,,good,81.0
457,Mister Freeze,Male,-,Human,-,183.0,DC Comics,,bad,86.0
458,Mister Knife,Male,Blue,Spartoi,Brown,0.0,Marvel Comics,,bad,0.0
459,Mister Mxyzptlk,Male,-,God / Eternal,-,0.0,DC Comics,,bad,0.0
460,Mister Sinister,Male,Red,Human / Altered,Black,196.0,Marvel Comics,,bad,128.0
461,Mister Zsasz,Male,Blue,Human,Blond,0.0,DC Comics,,bad,0.0
462,Mockingbird,Female,Blue,Human,Blond,175.0,Marvel Comics,,good,61.0
463,MODOK,Male,White,Cyborg,Brownn,366.0,Marvel Comics,,bad,338.0
464,Mogo,Male,-,Planet,-,0.0,DC Comics,,good,0.0
465,Mohinder Suresh,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
466,Moloch,Male,-,-,-,0.0,DC Comics,,bad,0.0
467,Molten Man,Male,Gold,-,Gold,196.0,Marvel Comics,,bad,248.0
468,Monarch,Male,Blue,-,White,193.0,DC Comics,,good,90.0
469,Monica Dawson,Female,-,-,-,0.0,NBC - Heroes,,good,0.0
470,Moon Knight,Male,Brown,Human,Brown,188.0,Marvel Comics,,good,101.0
471,Moonstone,Female,Blue,-,Blond,180.0,Marvel Comics,,bad,59.0
472,Morlun,Male,White / Red,-,Black,188.0,Marvel Comics,,bad,79.0
473,Morph,Male,White,-,No Hair,178.0,Marvel Comics,,good,79.0
474,Moses Magnum,Male,Brown,-,Black,175.0,Marvel Comics,,bad,72.0
475,Mr Immortal,Male,Blue,Mutant,Blond,188.0,Marvel Comics,,good,70.0
476,Mr Incredible,Male,Blue,Human,Blond,201.0,Dark Horse Comics,,good,158.0
477,Ms Marvel II,Female,Blue,-,Red,173.0,Marvel Comics,,good,61.0
478,Multiple Man,Male,Blue,-,Brown,180.0,Marvel Comics,,good,70.0
479,Mysterio,Male,Brown,Human,No Hair,180.0,Marvel Comics,,bad,79.0
480,Mystique,Female,Yellow (without irises),Mutant,Red / Orange,178.0,Marvel Comics,Blue,bad,54.0
481,Namor,Male,-,-,-,0.0,Marvel Comics,,good,0.0
482,Namor,Male,Grey,Atlantean,Black,188.0,Marvel Comics,,good,125.0
483,Namora,Female,Blue,-,Blond,180.0,Marvel Comics,,good,85.0
484,Namorita,Female,Blue,-,Blond,168.0,Marvel Comics,,good,101.0
485,Naruto Uzumaki,Male,-,Human,-,168.0,Shueisha,,good,54.0
486,Nathan Petrelli,Male,Brown,-,-,0.0,NBC - Heroes,,good,0.0
487,Nebula,Female,Blue,Luphomoid,No Hair,185.0,Marvel Comics,Blue,bad,83.0
488,Negasonic Teenage Warhead,Female,Black,Mutant,Black,0.0,Marvel Comics,,good,0.0
489,Nick Fury,Male,Brown,Human,Brown / White,185.0,Marvel Comics,,good,99.0
490,Nightcrawler,Male,Yellow,-,Indigo,175.0,Marvel Comics,,good,88.0
491,Nightwing,Male,Blue,Human,Black,178.0,DC Comics,,good,79.0
492,Niki Sanders,Female,Blue,-,Blond,0.0,NBC - Heroes,,good,0.0
493,Nina Theroux,Female,-,Alpha,-,0.0,SyFy,,good,0.0
494,Nite Owl II,Male,-,-,-,0.0,DC Comics,,good,0.0
495,Northstar,Male,Blue,-,Black,180.0,Marvel Comics,,good,83.0
496,Nova,Male,Brown,Human,Brown,185.0,Marvel Comics,,good,86.0
497,Nova,Female,White,Human / Cosmic,Red,163.0,Marvel Comics,Gold,good,59.0
498,Odin,Male,Blue,God / Eternal,White,206.0,Marvel Comics,,good,293.0
499,Offspring,Male,-,-,-,0.0,DC Comics,,good,0.0
500,Omega Red,Male,Red,-,Blond,211.0,Marvel Comics,,bad,191.0
501,Omniscient,Male,Brown,-,Black,180.0,Team Epic TV,,good,65.0
502,One Punch Man,Male,-,Human,No Hair,175.0,Shueisha,,good,69.0
503,One-Above-All,-,-,Cosmic Entity,-,0.0,Marvel Comics,,neutral,0.0
504,Onslaught,Male,Red,Mutant,No Hair,305.0,Marvel Comics,,bad,405.0
505,Oracle,Female,Blue,Human,Red,178.0,DC Comics,,good,59.0
506,Osiris,Male,Brown,-,Brown,0.0,DC Comics,,good,0.0
507,Overtkill,Male,-,-,-,0.0,Image Comics,,bad,0.0
508,Ozymandias,Male,Blue,Human,Blond,0.0,DC Comics,,bad,0.0
509,Parademon,-,-,Parademon,-,0.0,DC Comics,,bad,0.0
510,Paul Blart,Male,-,Human,-,170.0,Sony Pictures,,good,117.0
511,Penance,-,-,-,-,0.0,Marvel Comics,,good,0.0
512,Penance I,Female,-,-,-,0.0,Marvel Comics,,good,0.0
513,Penance II,Male,Blue,-,Blond,183.0,Marvel Comics,,good,89.0
514,Penguin,Male,Blue,Human,Black,157.0,DC Comics,,bad,79.0
515,Peter Petrelli,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
516,Phantom,Male,-,-,-,0.0,DC Comics,,good,0.0
517,Phantom Girl,Female,Blue,-,Black,168.0,DC Comics,,good,54.0
518,Phoenix,Female,Green,Mutant,Red,168.0,Marvel Comics,,good,52.0
519,Plantman,Male,Green,Mutant,Grey,183.0,Marvel Comics,,bad,87.0
520,Plastic Lad,Male,-,-,-,0.0,DC Comics,,good,0.0
521,Plastic Man,Male,Blue,Human,Black,185.0,DC Comics,,good,80.0
522,Plastique,Female,Blue,-,Red,168.0,DC Comics,,bad,55.0
523,Poison Ivy,Female,Green,Human,Red,168.0,DC Comics,Green,bad,50.0
524,Polaris,Female,Green,Mutant,Green,170.0,Marvel Comics,,good,52.0
525,Power Girl,Female,blue,Kryptonian,blond,180.0,DC Comics,,good,81.0
526,Power Man,Male,-,Mutant,-,0.0,Marvel Comics,,good,0.0
527,Predator,Male,-,Yautja,-,213.0,Dark Horse Comics,,bad,234.0
528,Professor X,Male,Blue,Mutant,No Hair,183.0,Marvel Comics,,good,86.0
529,Professor Zoom,Male,Blue,Human,Strawberry Blond,180.0,DC Comics,,bad,81.0
530,Proto-Goblin,Male,Green,-,Blond,0.0,Marvel Comics,,bad,0.0
531,Psylocke,Female,Blue,Mutant,Purple,180.0,Marvel Comics,,good,70.0
532,Punisher,Male,Blue,Human,Black,183.0,Marvel Comics,,good,90.0
533,Purple Man,Male,Purple,Human,Purple,180.0,Marvel Comics,Purple,bad,74.0
534,Pyro,Male,Blue,-,Blond,178.0,Marvel Comics,,bad,68.0
535,Q,Male,-,God / Eternal,-,0.0,Star Trek,,-,0.0
536,Quantum,Male,-,-,-,0.0,HarperCollins,,good,0.0
537,Question,Male,Blue,Human,Blond,188.0,DC Comics,,good,83.0
538,Quicksilver,Male,Blue,Mutant,Silver,183.0,Marvel Comics,,good,79.0
539,Quill,Male,Brown,-,Brown,163.0,Marvel Comics,,good,56.0
540,Ra's Al Ghul,Male,Green,Human,Grey,193.0,DC Comics,,bad,97.0
541,Rachel Pirzad,Female,-,Alpha,-,0.0,SyFy,,good,0.0
542,Rambo,Male,Brown,Human,Black,178.0,,,good,83.0
543,Raphael,Male,-,Mutant,No Hair,0.0,IDW Publishing,Green,good,0.0
544,Raven,Female,Indigo,Human,Black,165.0,DC Comics,,neutral,50.0
545,Ray,Male,Green,Human,Red,178.0,DC Comics,,good,70.0
546,Razor-Fist II,Male,Blue,-,No Hair,191.0,Marvel Comics,,bad,117.0
547,Red Arrow,Male,Green,Human,Red,180.0,DC Comics,,good,83.0
548,Red Hood,Male,Blue,Human,Black,183.0,DC Comics,,neutral,81.0
549,Red Hulk,Male,Yellow,Human / Radiation,Black,213.0,Marvel Comics,Red,neutral,630.0
550,Red Mist,Male,-,-,-,0.0,Icon Comics,,bad,0.0
551,Red Robin,Male,Blue,Human,Black,165.0,DC Comics,,good,56.0
552,Red Skull,Male,Blue,-,No Hair,188.0,Marvel Comics,,bad,108.0
553,Red Tornado,Male,Green,Android,No Hair,185.0,DC Comics,,good,146.0
554,Redeemer II,Male,-,-,-,0.0,Image Comics,,bad,0.0
555,Redeemer III,Male,-,-,-,0.0,Image Comics,,bad,0.0
556,Renata Soliz,Female,-,-,-,0.0,HarperCollins,,good,0.0
557,Rey,Female,Hazel,Human,Brown,297.0,George Lucas,,good,0.0
558,Rhino,Male,Brown,Human / Radiation,Brown,196.0,Marvel Comics,,bad,320.0
559,Rick Flag,Male,Blue,-,Brown,185.0,DC Comics,,bad,85.0
560,Riddler,Male,-,-,-,0.0,DC Comics,,bad,0.0
561,Rip Hunter,Male,Blue,Human,Blond,0.0,DC Comics,,good,0.0
562,Ripcord,Female,Green,-,Black,180.0,Marvel Comics,,good,72.0
563,Robin,Male,Blue,Human,Black,178.0,DC Comics,,good,79.0
564,Robin II,Male,Blue,Human,Red,183.0,DC Comics,,good,101.0
565,Robin III,Male,Blue,Human,Black,165.0,DC Comics,,good,56.0
566,Robin V,Male,Blue,Human,Black,137.0,DC Comics,,good,38.0
567,Robin VI,Female,Green,Human,Red,0.0,DC Comics,,neutral,0.0
568,Rocket Raccoon,Male,Brown,Animal,Brown,122.0,Marvel Comics,,good,25.0
569,Rogue,Female,Green,-,Brown / White,173.0,Marvel Comics,,good,54.0
570,Ronin,Male,Blue,Human,Blond,191.0,Marvel Comics,,good,104.0
571,Rorschach,Male,Blue,Human,Red,168.0,DC Comics,,good,63.0
572,Sabretooth,Male,Amber,Mutant,Blond,198.0,Marvel Comics,,bad,171.0
573,Sage,Female,Blue,-,Black,170.0,Marvel Comics,,good,61.0
574,Sandman,Male,Brown,Human,Brown,185.0,Marvel Comics,,neutral,203.0
575,Sasquatch,Male,Red,-,Orange,305.0,Marvel Comics,,good,900.0
576,Sauron,Male,-,Maiar,-,279.0,J. R. R. Tolkien,,bad,0.0
577,Savage Dragon,Male,-,-,-,0.0,Image Comics,,good,0.0
578,Scarecrow,Male,Blue,Human,Brown,183.0,DC Comics,,bad,63.0
579,Scarlet Spider,Male,Blue,Human,Blond,178.0,Marvel Comics,,good,74.0
580,Scarlet Spider II,Male,Brown,Clone,Brown,193.0,Marvel Comics,,good,113.0
581,Scarlet Witch,Female,Blue,Mutant,Brown,170.0,Marvel Comics,,bad,59.0
582,Scorpia,Female,Green,-,Red,0.0,Marvel Comics,,bad,0.0
583,Scorpion,Male,Brown,Human,Brown,211.0,Marvel Comics,,bad,310.0
584,Sebastian Shaw,Male,-,Mutant,-,0.0,Marvel Comics,,bad,0.0
585,Sentry,Male,Blue,Mutant,Blond,188.0,Marvel Comics,,neutral,87.0
586,Shadow King,-,Red,-,-,185.0,Marvel Comics,,good,149.0
587,Shadow Lass,Female,Black,Talokite,Black,173.0,DC Comics,Blue,good,54.0
588,Shadowcat,Female,Hazel,Mutant,Brown,168.0,Marvel Comics,,good,50.0
589,Shang-Chi,Male,Brown,Human,Black,178.0,Marvel Comics,,good,79.0
590,Shatterstar,Male,Brown,-,Red,191.0,Marvel Comics,,good,88.0
591,She-Hulk,Female,Green,Human,Green,201.0,Marvel Comics,,good,315.0
592,She-Thing,Female,Blue,Human / Radiation,No Hair,183.0,Marvel Comics,,good,153.0
593,Shocker,Male,Brown,Human,Brown,175.0,Marvel Comics,,bad,79.0
594,Shriek,Female,Yellow / Blue,-,Black,173.0,Marvel Comics,,good,52.0
595,Shrinking Violet,Female,-,-,-,0.0,DC Comics,,good,0.0
596,Sif,Female,Blue,Asgardian,Black,188.0,Marvel Comics,,good,191.0
597,Silk,Female,Brown,Human,Black,0.0,Marvel Comics,,good,0.0
598,Silk Spectre,Female,-,-,-,0.0,DC Comics,,good,0.0
599,Silk Spectre II,Female,-,-,-,0.0,DC Comics,,good,0.0
600,Silver Surfer,Male,White,Alien,No Hair,193.0,Marvel Comics,Silver,good,101.0
601,Silverclaw,Female,Brown,-,Black,157.0,Marvel Comics,,good,50.0
602,Simon Baz,Male,Bown,Human,Black,0.0,DC Comics,,good,0.0
603,Sinestro,Male,Black,Korugaran,Black,201.0,DC Comics,Red,neutral,92.0
604,Siren,Female,Blue,Atlantean,Purple,175.0,DC Comics,,bad,72.0
605,Siren II,Female,Black,-,-,0.0,DC Comics,,bad,0.0
606,Siryn,Female,Blue,-,Strawberry Blond,168.0,Marvel Comics,,bad,52.0
607,Skaar,Male,Green,-,Black,198.0,Marvel Comics,,good,180.0
608,Snake-Eyes,Male,-,Animal,-,0.0,Marvel Comics,,bad,0.0
609,Snowbird,Female,White,-,Blond,178.0,Marvel Comics,,good,49.0
610,Sobek,Male,White,-,No Hair,0.0,DC Comics,,good,0.0
611,Solomon Grundy,Male,Black,Zombie,White,279.0,DC Comics,,bad,437.0
612,Songbird,Female,Green,-,Red / White,165.0,Marvel Comics,,good,65.0
613,Space Ghost,Male,-,Human,-,188.0,DC Comics,,good,113.0
614,Spawn,Male,Brown,Demon,Black,211.0,Image Comics,,good,405.0
615,Spectre,Male,White,God / Eternal,No Hair,0.0,DC Comics,White,good,0.0
616,Speedball,Male,-,-,-,0.0,Marvel Comics,,good,0.0
617,Speedy,Male,-,Human,-,0.0,DC Comics,,good,0.0
618,Speedy,Female,Green,Human,Brown,0.0,DC Comics,,good,0.0
619,Spider-Carnage,Male,-,Symbiote,-,0.0,Marvel Comics,,bad,0.0
620,Spider-Girl,Female,Blue,Human,Brown,170.0,Marvel Comics,,good,54.0
621,Spider-Gwen,Female,Blue,Human,Blond,165.0,Marvel Comics,,good,56.0
622,Spider-Man,Male,Hazel,Human,Brown,178.0,Marvel Comics,,good,74.0
623,Spider-Man,-,Red,Human,Brown,178.0,Marvel Comics,,good,77.0
624,Spider-Man,Male,Brown,Human,Black,157.0,Marvel Comics,,good,56.0
625,Spider-Woman,Female,Green,Human,Black,178.0,Marvel Comics,,good,59.0
626,Spider-Woman II,Female,-,-,-,0.0,Marvel Comics,,good,0.0
627,Spider-Woman III,Female,Brown,-,Brown,173.0,Marvel Comics,,good,55.0
628,Spider-Woman IV,Female,Red,-,White,178.0,Marvel Comics,,bad,58.0
629,Spock,Male,Brown,Human-Vulcan,Black,185.0,Star Trek,,good,81.0
630,Spyke,Male,Brown,Mutant,Blond,183.0,Marvel Comics,,good,83.0
631,Stacy X,Female,-,-,-,0.0,Marvel Comics,,good,0.0
632,Star-Lord,Male,Blue,Human-Spartoi,Blond,188.0,Marvel Comics,,good,79.0
633,Stardust,Male,-,-,-,0.0,Marvel Comics,,good,0.0
634,Starfire,Female,Green,Tamaranean,Auburn,193.0,DC Comics,Orange,good,71.0
635,Stargirl,Female,Blue,Human,Blond,165.0,DC Comics,,good,62.0
636,Static,Male,Brown,Mutant,Black,170.0,DC Comics,,good,63.0
637,Steel,Male,Brown,-,No Hair,201.0,DC Comics,,good,131.0
638,Stephanie Powell,Female,-,-,Blond,0.0,ABC Studios,,good,0.0
639,Steppenwolf,Male,Red,New God,Black,183.0,DC Comics,White,bad,91.0
640,Storm,Female,Blue,Mutant,White,180.0,Marvel Comics,,good,57.0
641,Stormtrooper,Male,-,Human,-,183.0,George Lucas,,bad,0.0
642,Sunspot,Male,brown,Mutant,black,173.0,Marvel Comics,,good,77.0
643,Superboy,Male,Blue,-,Black,170.0,DC Comics,,good,68.0
644,Superboy-Prime,Male,Blue,Kryptonian,Black / Blue,180.0,DC Comics,,bad,77.0
645,Supergirl,Female,Blue,Kryptonian,Blond,165.0,DC Comics,,good,54.0
646,Superman,Male,Blue,Kryptonian,Black,191.0,DC Comics,,good,101.0
647,Swamp Thing,Male,Red,God / Eternal,No Hair,0.0,DC Comics,Green,bad,0.0
648,Swarm,Male,Yellow,Mutant,No Hair,196.0,Marvel Comics,Yellow,bad,47.0
649,Sylar,Male,-,-,-,0.0,NBC - Heroes,,bad,0.0
650,Synch,Male,Brown,-,Black,180.0,Marvel Comics,,good,74.0
651,T-1000,Male,-,Android,-,183.0,Dark Horse Comics,Silver,bad,146.0
652,T-800,Male,Red,Cyborg,-,0.0,Dark Horse Comics,,bad,176.0
653,T-850,Male,Red,Cyborg,-,0.0,Dark Horse Comics,,bad,198.0
654,T-X,Female,-,Cyborg,-,0.0,Dark Horse Comics,Silver,bad,149.0
655,Taskmaster,Male,Brown,Human,Brown,188.0,Marvel Comics,,bad,99.0
656,Tempest,Female,Brown,-,Black,163.0,Marvel Comics,,good,54.0
657,Thanos,Male,Red,Eternal,No Hair,201.0,Marvel Comics,Purple,bad,443.0
658,The Cape,Male,-,-,-,0.0,,,good,0.0
659,The Comedian,Male,Brown,Human,Black,188.0,DC Comics,,neutral,101.0
660,Thing,Male,Blue,Human / Radiation,No Hair,183.0,Marvel Comics,,good,225.0
661,Thor,Male,Blue,Asgardian,Blond,198.0,Marvel Comics,,good,288.0
662,Thor Girl,Female,Blue,Asgardian,Blond,175.0,Marvel Comics,,good,143.0
663,Thunderbird,Male,Brown,-,Black,185.0,Marvel Comics,,good,101.0
664,Thunderbird II,Male,-,-,-,0.0,Marvel Comics,,good,0.0
665,Thunderbird III,Male,Brown,-,Black,175.0,Marvel Comics,,good,74.0
666,Thunderstrike,Male,Blue,-,Blond,198.0,Marvel Comics,,good,288.0
667,Thundra,Female,Green,-,Red,218.0,Marvel Comics,,good,158.0
668,Tiger Shark,Male,Grey,Human,No Hair,185.0,Marvel Comics,Grey,bad,203.0
669,Tigra,Female,Green,-,Auburn,178.0,Marvel Comics,,good,81.0
670,Tinkerer,Male,Brown,-,White,163.0,Marvel Comics,,bad,54.0
671,Titan,Male,-,-,-,0.0,HarperCollins,,good,0.0
672,Toad,Male,Black,Mutant,Brown,175.0,Marvel Comics,Green,neutral,76.0
673,Toxin,Male,Blue,Symbiote,Brown,188.0,Marvel Comics,,good,97.0
674,Toxin,Male,Black,Symbiote,Blond,191.0,Marvel Comics,,good,117.0
675,Tracy Strauss,Female,-,-,-,0.0,NBC - Heroes,,good,0.0
676,Trickster,Male,Blue,Human,Blond,183.0,DC Comics,,-,81.0
677,Trigon,Male,Yellow,God / Eternal,Black,0.0,DC Comics,Red,bad,0.0
678,Triplicate Girl,Female,Purple,-,Brown,168.0,DC Comics,,good,59.0
679,Triton,Male,Green,Inhuman,No Hair,188.0,Marvel Comics,Green,good,86.0
680,Two-Face,Male,-,-,-,183.0,DC Comics,,bad,82.0
681,Ultragirl,Female,Blue,-,Blond,168.0,Marvel Comics,,good,105.0
682,Ultron,Male,Red,Android,-,206.0,Marvel Comics,Silver,bad,331.0
683,Utgard-Loki,Male,Blue,Frost Giant,White,15.2,Marvel Comics,,bad,58.0
684,Vagabond,Female,Blue,-,Strawberry Blond,168.0,Marvel Comics,,good,54.0
685,Valerie Hart,Female,Hazel,-,Black,175.0,Team Epic TV,,good,56.0
686,Valkyrie,Female,Blue,-,Blond,191.0,Marvel Comics,,good,214.0
687,Vanisher,Male,Green,-,No Hair,165.0,Marvel Comics,,bad,79.0
688,Vegeta,Male,-,Saiyan,Black,168.0,Shueisha,,bad,73.0
689,Venom,Male,Blue,Symbiote,Strawberry Blond,191.0,Marvel Comics,,bad,117.0
690,Venom II,Male,Brown,-,Black,175.0,Marvel Comics,,bad,50.0
